Experiment,Genotype,Environment,Repno,Yield
Experiment 1,G14,E7,2,58.02444423
Experiment 1,G12,E7,1,60.05671715
Experiment 1,G11,E7,2,61.25430732
Experiment 1,G4,E7,1,60.89485979
Experiment 1,G2,E7,2,57.44871747
Experiment 1,G8,E7,1,65.66694019
Experiment 1,G17,E7,1,54.14366165
Experiment 1,G19,E7,2,67.19867907
Experiment 1,G20,E7,2,61.46010812
Experiment 1,G2,E8,1,46.52581027
Experiment 1,G5,E8,1,45.39422309
Experiment 1,G3,E8,1,41.07493419
Experiment 1,G4,E8,2,58.80265079
Experiment 1,G15,E8,1,48.84911889
Experiment 1,G2,E8,2,35.61658347
Experiment 1,G19,E8,2,42.43284277
Experiment 1,G20,E8,2,54.70793852
Experiment 1,G8,E8,2,46.00463659
Experiment 1,G11,E8,2,46.90386512
Experiment 1,G13,E8,2,52.862403
Experiment 1,G5,E8,2,45.68225499
Experiment 1,G17,E8,1,51.08415915
Experiment 1,G19,E8,1,36.08766507
Experiment 1,G9,E8,1,50.71738569
Experiment 1,G7,E8,1,47.37766295
Experiment 1,G13,E8,1,47.3541089
Experiment 1,G6,E8,2,41.23780032
Experiment 1,G6,E8,1,44.33150382
Experiment 1,G15,E8,2,47.68301349
Experiment 1,G8,E8,1,43.09160359
Experiment 1,G10,E8,1,39.74836167
Experiment 1,G16,E8,2,46.81258314
Experiment 1,G20,E8,1,47.43665722
Experiment 1,G16,E8,1,50.05498664
Experiment 1,G14,E8,2,45.61067083
Experiment 1,G12,E8,1,46.22523795
Experiment 1,G17,E8,2,50.73441675
Experiment 1,G4,E8,1,44.10454799
Experiment 1,G12,E8,2,51.35404965
Experiment 1,G7,E8,2,47.48294255
Experiment 1,G11,E8,1,50.61720152
Experiment 1,G18,E8,2,40.58762447
Experiment 1,G1,E8,1,49.70206209
Experiment 1,G1,E8,2,47.70368279
Experiment 1,G18,E8,1,46.19197877
Experiment 1,G9,E8,2,51.00318709
Experiment 1,G14,E8,1,46.32175423
Experiment 1,G17,E9,2,33.19450825
Experiment 1,G5,E9,2,45.13920259
Experiment 1,G17,E9,1,50.17768395
Experiment 1,G10,E9,1,38.43757117
Experiment 1,G4,E9,1,40.98526809
Experiment 1,G14,E9,1,37.88421883
Experiment 1,G16,E9,1,47.55861104
Experiment 1,G9,E9,2,35.41139729
Experiment 1,G7,E9,1,40.73240865
Experiment 1,G8,E9,1,40.98526809
Experiment 1,G20,E9,2,41.12627532
Experiment 1,G20,E9,1,38.89295002
Experiment 1,G15,E9,1,36.69943669
Experiment 1,G13,E9,1,49.5115972
Experiment 1,G13,E9,2,44.1354974
Experiment 1,G3,E9,1,37.85186169
Experiment 1,G8,E9,2,41.50497459
Experiment 1,G9,E9,1,27.81713959
Experiment 1,G2,E9,1,46.02067637
Experiment 1,G10,E9,2,36.23636507
Experiment 1,G15,E9,2,30.42325579
Experiment 1,G4,E9,2,49.15573829
Experiment 1,G1,E9,1,46.50635039
Experiment 1,G19,E9,2,35.20438707
Experiment 1,G14,E9,2,37.62815743
Experiment 1,G16,E9,2,41.83217404
Experiment 1,G2,E9,2,35.91056337
Experiment 1,G19,E9,1,40.97409577
Experiment 1,G12,E9,2,34.39972175
Experiment 1,G6,E9,1,33.86332122
Experiment 1,G12,E9,1,30.95746545
Experiment 1,G7,E9,2,35.64820695
Experiment 1,G1,E9,2,47.39884779
Experiment 1,G18,E9,2,46.09413417
Experiment 1,G18,E9,1,41.74421307
Experiment 1,G6,E9,2,43.11662482
Experiment 1,G11,E9,1,36.50527412
Experiment 1,G11,E9,2,47.57747612
Experiment 1,G3,E9,2,49.54741409
Experiment 1,G5,E9,1,40.49946519
Experiment 1,G12,E10,1,51.96684235
Experiment 1,G15,E10,1,41.70824749
Experiment 1,G5,E10,2,49.48719059
Experiment 1,G13,E10,2,56.8729907
Experiment 1,G3,E10,1,48.03290459
Experiment 1,G3,E10,2,47.30799209
Experiment 1,G10,E10,2,53.40378007
Experiment 1,G1,E10,1,61.93293449
Experiment 1,G19,E10,1,58.17348127
Experiment 1,G1,E10,2,59.13187259
Experiment 1,G16,E10,1,55.88343184
Experiment 1,G20,E10,2,53.68116502
Experiment 1,G12,E10,2,48.54391705
Experiment 1,G18,E10,2,46.97399207
Experiment 1,G10,E10,1,56.61867407
Experiment 1,G9,E10,1,57.99089749
Experiment 1,G7,E10,1,50.82586725
Experiment 1,G8,E10,2,42.74409169
Experiment 1,G19,E10,2,54.95858727
Experiment 1,G2,E10,1,59.21170467
Experiment 1,G9,E10,2,54.87890389
Experiment 1,G13,E10,1,53.4500654
Experiment 1,G16,E10,2,56.19436354
Experiment 1,G7,E10,2,43.35785585
Experiment 1,G5,E10,1,45.02604189
Experiment 1,G14,E10,1,62.06938163
Experiment 1,G11,E10,1,59.59436922
Experiment 1,G4,E10,1,56.22791029
Experiment 1,G18,E10,1,47.80403547
Experiment 1,G15,E10,2,43.16015429
Experiment 1,G17,E10,2,56.52851225
Experiment 1,G8,E10,1,43.88506679
Experiment 1,G17,E10,1,48.12770575
Experiment 1,G14,E10,2,50.24550113
Experiment 1,G4,E10,2,53.63502839
Experiment 1,G6,E10,1,54.30317712
Experiment 1,G11,E10,2,61.46010812
Experiment 1,G20,E10,1,49.11726462
Experiment 1,G6,E10,2,46.52661322
Experiment 1,G2,E10,2,54.12854387
Experiment 1,G6,E11,2,50.83519572
Experiment 1,G15,E11,1,48.13699459
Experiment 1,G3,E11,2,52.85598909
Experiment 1,G8,E11,1,52.29672839
Experiment 1,G12,E11,2,48.65053495
Experiment 1,G5,E11,1,50.45701199
Experiment 1,G19,E11,1,53.23827697
Experiment 1,G12,E11,1,45.27430145
Experiment 1,G20,E11,2,53.26807642
Experiment 1,G11,E11,2,57.50676992
Experiment 1,G8,E11,2,44.86053879
Experiment 1,G4,E11,1,59.02287549
Experiment 1,G9,E11,1,53.75607019
Experiment 1,G3,E11,1,50.77329689
Experiment 1,G11,E11,1,50.54894822
Experiment 1,G20,E11,1,56.92118932
Experiment 1,G13,E11,2,52.3812098
Experiment 1,G10,E11,2,48.72091967
Experiment 1,G19,E11,2,51.81477187
Experiment 1,G16,E11,2,59.76628624
Experiment 1,G17,E11,1,53.91555585
Experiment 1,G1,E11,2,60.36548779
Experiment 1,G2,E11,2,52.11603807
Experiment 1,G7,E11,1,55.34857775
Experiment 1,G13,E11,1,50.3325699
Experiment 1,G14,E11,2,48.33515223
Experiment 1,G18,E11,2,48.26143667
Experiment 1,G10,E11,1,48.94307747
Experiment 1,G16,E11,1,61.92987124
Experiment 1,G18,E11,1,52.67158127
Experiment 1,G6,E11,1,47.65286702
Experiment 1,G15,E11,2,47.08449599
Experiment 1,G2,E11,1,50.19721327
Experiment 1,G9,E11,2,55.52797939
Experiment 1,G7,E11,2,51.48832575
Experiment 1,G4,E11,2,56.07965639
Experiment 1,G5,E11,2,48.35543489
Experiment 1,G1,E11,1,56.39043939
Experiment 1,G14,E11,1,48.91136473
Experiment 1,G17,E11,2,53.99838175
Experiment 1,G18,E12,1,48.18589707
Experiment 1,G14,E12,1,47.03283763
Experiment 1,G7,E12,1,49.53857135
Experiment 1,G2,E12,2,53.38088027
Experiment 1,G13,E12,2,60.1336843
Experiment 1,G4,E12,2,56.49319109
Experiment 1,G9,E12,1,53.63725889
Experiment 1,G7,E12,2,44.96991255
Experiment 1,G16,E12,1,60.56183124
Experiment 1,G12,E12,1,52.49725525
Experiment 1,G11,E12,1,57.51584062
Experiment 1,G13,E12,1,58.1214759
Experiment 1,G1,E12,2,51.95204179
Experiment 1,G6,E12,2,52.56992992
Experiment 1,G11,E12,2,53.34733352
Experiment 1,G3,E12,2,48.90413789
Experiment 1,G15,E12,1,48.14725489
Experiment 1,G8,E12,1,55.98790849
Experiment 1,G18,E12,2,56.35339327
Experiment 1,G15,E12,2,49.35915989
Experiment 1,G20,E12,2,52.77573072
Experiment 1,G3,E12,1,50.06563359
Experiment 1,G1,E12,1,56.12738909
Experiment 1,G5,E12,1,57.17007349
Experiment 1,G9,E12,2,61.29501149
Experiment 1,G10,E12,1,54.30460467
Experiment 1,G17,E12,2,47.65439365
Experiment 1,G5,E12,2,50.56868569
Experiment 1,G16,E12,2,54.61665654
Experiment 1,G2,E12,1,54.50133477
Experiment 1,G4,E12,1,58.92845099
Experiment 1,G20,E12,1,55.54705262
Experiment 1,G19,E12,1,59.11787497
Experiment 1,G12,E12,2,51.26720885
Experiment 1,G19,E12,2,55.61033937
Experiment 1,G6,E12,1,56.74973822
Experiment 1,G10,E12,2,51.67975227
Experiment 1,G17,E12,1,53.84417985
Experiment 1,G8,E12,2,55.16693579
Experiment 1,G14,E12,2,49.60073793
Experiment 1,G9,E13,2,57.57706539
Experiment 1,G11,E13,2,61.04627602
Experiment 1,G2,E13,2,49.87795437
Experiment 1,G5,E13,2,57.99089749
Experiment 1,G16,E13,2,60.23930094
Experiment 1,G3,E13,2,43.98796719
Experiment 1,G16,E13,1,65.32246174
Experiment 1,G10,E13,1,56.20484197
Experiment 1,G20,E13,1,65.61032512
Experiment 1,G18,E13,2,50.91364987
Experiment 1,G8,E13,2,60.79195939
Experiment 1,G14,E13,1,48.89634603
Experiment 1,G13,E13,1,61.7479715
Experiment 1,G7,E13,2,54.24656205
Experiment 1,G3,E13,1,38.07714219
Experiment 1,G1,E13,2,58.30182919
Experiment 1,G19,E13,2,63.56757377
Experiment 1,G11,E13,1,66.64602062
Experiment 1,G17,E13,2,59.64050585
Experiment 1,G14,E13,2,53.87422723
Experiment 1,G6,E13,2,61.35720772
Experiment 1,G2,E13,1,60.56071107
Experiment 1,G19,E13,1,60.97454317
Experiment 1,G9,E13,1,55.18983559
Experiment 1,G7,E13,1,51.23969935
Experiment 1,G12,E13,2,50.40965595
Experiment 1,G4,E13,1,74.06774669
Experiment 1,G20,E13,2,57.72610242
Experiment 1,G17,E13,1,56.21758055
Experiment 1,G13,E13,2,55.9400469
Experiment 1,G4,E13,2,70.22861009
Experiment 1,G15,E13,1,48.44911589
Experiment 1,G15,E13,2,51.25002909
Experiment 1,G12,E13,1,54.04076125
Experiment 1,G1,E13,1,53.53212799
Experiment 1,G8,E13,1,51.87204119
Experiment 1,G5,E13,1,56.74702199
Experiment 1,G6,E13,1,66.23218852
Experiment 1,G10,E13,2,52.67663707
Experiment 1,G18,E13,1,53.61181137
Experiment 1,G8,E14,2,33.72127309
Experiment 1,G18,E14,1,38.57303687
Experiment 1,G9,E14,2,35.38135989
Experiment 1,G1,E14,1,32.78832929
Experiment 1,G19,E14,1,37.43206177
Experiment 1,G12,E14,2,29.66600595
Experiment 1,G13,E14,2,39.0331543
Experiment 1,G18,E14,2,35.46104327
Experiment 1,G19,E14,2,36.60201837
Experiment 1,G7,E14,2,33.71094335
Experiment 1,G20,E14,2,31.17452782
Experiment 1,G10,E14,2,35.15011157
Experiment 1,G3,E14,2,34.24038479
Experiment 1,G4,E14,2,35.79519199
Experiment 1,G4,E14,1,42.01917919
Experiment 1,G2,E14,1,32.03811797
Experiment 1,G10,E14,1,33.69820477
Experiment 1,G2,E14,2,40.54182487
Experiment 1,G6,E14,1,37.70959542
Experiment 1,G16,E14,2,36.28075694
Experiment 1,G16,E14,1,41.98578114
Experiment 1,G14,E14,1,37.69447763
Experiment 1,G15,E14,2,30.50637909
Experiment 1,G8,E14,1,31.33642249
Experiment 1,G15,E14,1,34.96514859
Experiment 1,G11,E14,1,35.63567652
Experiment 1,G17,E14,1,32.15598745
Experiment 1,G3,E14,1,35.48426029
Experiment 1,G12,E14,1,34.12700595
Experiment 1,G7,E14,1,40.76497395
Experiment 1,G14,E14,2,33.33860853
Experiment 1,G5,E14,1,29.26012439
Experiment 1,G17,E14,2,36.92806785
Experiment 1,G13,E14,1,33.5363101
Experiment 1,G6,E14,2,39.47258262
Experiment 1,G5,E14,2,30.71217989
Experiment 1,G20,E14,1,31.69363952
Experiment 1,G9,E14,1,30.71217989
Experiment 1,G1,E14,2,37.03906749
Experiment 1,G11,E14,2,26.71575832
Experiment 1,G1,E15,1,52.59680499
Experiment 1,G16,E15,1,52.87656914
Experiment 1,G6,E15,2,53.16220202
Experiment 1,G17,E15,1,46.57289855
Experiment 1,G1,E15,2,52.39115289
Experiment 1,G7,E15,2,45.84575555
Experiment 1,G20,E15,1,56.37932652
Experiment 1,G2,E15,2,38.67593727
Experiment 1,G5,E15,2,64.31778509
Experiment 1,G11,E15,2,50.77735142
Experiment 1,G14,E15,1,29.70988243
Experiment 1,G9,E15,1,36.72813579
Experiment 1,G19,E15,1,46.55778077
Experiment 1,G7,E15,1,52.38067445
Experiment 1,G12,E15,2,52.69160615
Experiment 1,G9,E15,2,38.38822259
